Transaction_ID,Date,Time_of_Purchase,Customer_ID,Customer_Name,Age,Gender,Income_Level,Visit_Frequency,Customer_Category,Loyalty_Member,Products,Product_Categories,Total_Items,Total_Cost,Payment_Method,Discount_Applied,City,Region,Store_Type,Street,Season,Day_of_Week
TXN8743919,2024-07-27,11:02:55,CUST63353,Dharmajan Sule,46,Female,Low,Monthly,Frequent Shopper,No,"Tea, Headphones, Hair Oil","Groceries, Electronics, Personal Care",3,5476.78,Cash,11.34,Mumbai,West,Supermarket,"455, Raman Chowk, Mumbai, India",Summer,Saturday
TXN1815500,2024-06-20,11:02:55,CUST52759,Arnav Khanna,26,Female,Low,Weekly,Frequent Shopper,No,"Soap, Namkeen","Personal Care, Snacks",2,7073.43,Net Banking,0.0,Lucknow,North,Supermarket,"566, Kibe Circle, Lucknow, India",Summer,Thursday
TXN5992597,2024-07-09,11:02:55,CUST66293,Nishith Balakrishnan,27,Male,Middle,Occasional,Budget Buyer,No,"Tea, Lamp, Smartwatch, Soap","Groceries, Home Decor, Electronics, Personal Care",4,9659.310000000001,Credit Card,0.0,Lucknow,North,Supermarket,"36, Kapoor Path, Lucknow, India",Summer,Tuesday
TXN6220479,2024-12-14,11:02:55,CUST80144,Ahana  Sarkar,52,Male,Low,Occasional,Luxury Shopper,Yes,"Noodles, Saree, Headphones","Snacks, Clothing, Electronics",3,8658.86,Credit Card,0.0,Lucknow,North,Supermarket,"H.No. 510, Bawa Road, Lucknow, India",Winter,Saturday
TXN8536704,2024-07-21,11:02:55,CUST82165,Yakshit Kibe,42,Male,Low,Occasional,First-Time Shopper,No,"Tablet, Green Tea, Soap","Electronics, Beverages, Personal Care",3,5472.64,Credit Card,13.15,Kolkata,East,Supermarket,"76, Raman Chowk, Kolkata, India",Summer,Sunday
TXN9151013,2025-01-02,11:02:55,CUST35211,Zaina Mann,22,Female,High,Monthly,Frequent Shopper,Yes,"Soft Drink, Soap, Laptop","Beverages, Personal Care, Electronics",3,9205.76,Cash,0.0,Jaipur,North,Supermarket,"32/249, Khatri Marg, Jaipur, India",Winter,Thursday
TXN3323227,2024-07-28,11:02:55,CUST79023,Anahita Baral,36,Male,Low,Occasional,Luxury Shopper,No,"Rice, Dry Fruits, Smartphone","Groceries, Snacks, Electronics",3,5891.06,Net Banking,20.84,Delhi,North,Supermarket,"67/55, Manne Chowk, Delhi, India",Summer,Sunday
TXN6154968,2024-06-08,11:02:55,CUST52032,Zoya Bhatti,55,Male,Low,Monthly,First-Time Shopper,Yes,"Curtains, Sugar, Lamp, Soft Drink","Home Decor, Groceries, Home Decor, Beverages",4,11723.839999999998,Net Banking,0.0,Delhi,North,Supermarket,"H.No. 945, Sampath Road, Delhi, India",Summer,Saturday
TXN4082709,2024-08-19,11:02:55,CUST94613,Ishaan Luthra,40,Female,Low,Weekly,Luxury Shopper,Yes,"Flower Vase, Toothpaste, Fruit Juice, Coffee","Home Decor, Personal Care, Beverages, Groceries",4,7633.35,Debit Card,18.7,Pune,West,Supermarket,"94/438, Biswas Circle, Pune, India",Monsoon,Monday
TXN3951695,2024-04-09,11:02:55,CUST42114,Khushi Kapoor,42,Female,Low,Monthly,Luxury Shopper,No,"Spices, Curtains","Groceries, Home Decor",2,4378.73,UPI,0.0,Lucknow,North,Supermarket,"94, Dalal Zila, Lucknow, India",Spring,Tuesday
TXN5425201,2024-07-31,11:02:55,CUST54217,Vidur Kohli,25,Female,High,Weekly,Budget Buyer,Yes,"Energy Drink, Namkeen, Flower Vase, Green Tea","Beverages, Snacks, Home Decor, Beverages",4,5407.2,Debit Card,0.0,Bangalore,South,Supermarket,"H.No. 88, Trivedi Marg, Bangalore, India",Summer,Wednesday
TXN2894203,2024-06-24,11:02:55,CUST25322,Lavanya Viswanathan,28,Female,Low,Monthly,Frequent Shopper,Yes,"Shampoo, Smartphone, Green Tea","Personal Care, Electronics, Beverages",3,7491.8,Debit Card,1.68,Jaipur,North,Supermarket,"H.No. 878, D’Alia Marg, Jaipur, India",Summer,Monday
TXN3370868,2024-11-20,11:02:55,CUST35547,Rohan Bhat,34,Female,Low,Monthly,Budget Buyer,No,"Soap, Tablet, Toothpaste","Personal Care, Electronics, Personal Care",3,5761.75,Cash,0.0,Chennai,South,Supermarket,"35/90, Dhar, Chennai, India",Autumn,Wednesday
TXN8903439,2024-10-04,11:02:55,CUST19064,Piya Dhaliwal,32,Female,High,Weekly,Frequent Shopper,No,Namkeen,Snacks,1,1313.23,Cash,4.21,Hyderabad,South,Supermarket,"H.No. 47, Chander Road, Hyderabad, India",Autumn,Friday
TXN8982323,2024-10-13,11:02:55,CUST22498,Baiju Kara,46,Male,Low,Occasional,First-Time Shopper,Yes,"Namkeen, Rice, Jeans, Toothpaste","Snacks, Groceries, Clothing, Personal Care",4,14585.98,Cash,0.0,Pune,West,Supermarket,"544, Seshadri Path, Pune, India",Autumn,Sunday
TXN5711911,2024-02-17,11:02:55,CUST78378,Anvi Mand,33,Female,Middle,Monthly,Luxury Shopper,No,"Headphones, Noodles, Smartphone, Face Cream","Electronics, Snacks, Electronics, Personal Care",4,10731.080000000002,Debit Card,0.0,Chennai,South,Supermarket,"10, Ganesh, Chennai, India",Winter,Saturday
TXN7532583,2024-12-20,11:02:55,CUST43559,Amira Thaker,24,Female,Middle,Monthly,Budget Buyer,Yes,"Jeans, Jeans, Noodles","Clothing, Clothing, Snacks",3,12457.81,Credit Card,28.05,Chennai,South,Supermarket,"28/740, Dutt Chowk, Chennai, India",Winter,Friday
TXN4169063,2024-09-15,11:02:55,CUST15203,Mannat Das,62,Female,Low,Monthly,Luxury Shopper,No,"Milk, Energy Drink","Groceries, Beverages",2,7151.22,Net Banking,0.0,Pune,West,Supermarket,"14/60, Kapur Ganj, Pune, India",Autumn,Sunday
TXN2174350,2024-08-01,11:02:55,CUST48028,Jhanvi Wadhwa,61,Male,Low,Weekly,Budget Buyer,Yes,"Soap, Fruit Juice","Personal Care, Beverages",2,4320.46,Cash,0.0,Chennai,South,Supermarket,"H.No. 356, Ram Circle, Chennai, India",Monsoon,Thursday
TXN7397114,2024-03-10,11:02:55,CUST86014,Parinaaz Zacharia,24,Male,Low,Weekly,First-Time Shopper,No,"Saree, Hoodie, Curtains","Clothing, Clothing, Home Decor",3,11202.66,UPI,0.0,Mumbai,West,Supermarket,"H.No. 858, Khatri Chowk, Mumbai, India",Spring,Sunday
TXN9752821,2024-06-14,11:02:55,CUST77796,Aarav Walla,29,Male,High,Occasional,Frequent Shopper,Yes,"Soap, Namkeen","Personal Care, Snacks",2,5102.01,Credit Card,22.15,Bangalore,South,Supermarket,"75/013, Sachdeva, Bangalore, India",Summer,Friday
TXN7857804,2025-01-24,11:02:55,CUST82745,Zaina Rama,40,Female,High,Occasional,Frequent Shopper,No,"Hoodie, Energy Drink, Lamp","Clothing, Beverages, Home Decor",3,6417.79,Cash,6.14,Delhi,North,Supermarket,"25/679, Saraf Chowk, Delhi, India",Winter,Friday
TXN4602703,2024-10-17,11:02:55,CUST46514,Trisha Sandhu,21,Male,High,Weekly,First-Time Shopper,Yes,"Namkeen, Energy Drink, Headphones, Lamp","Snacks, Beverages, Electronics, Home Decor",4,11617.16,Credit Card,2.78,Pune,West,Supermarket,"31, Sood Chowk, Pune, India",Autumn,Thursday
TXN1563125,2024-10-31,11:02:55,CUST75481,Darshit Lad,29,Female,Low,Monthly,First-Time Shopper,Yes,"Spices, Soap, Shampoo, Fruit Juice","Groceries, Personal Care, Personal Care, Beverages",4,12349.31,Debit Card,22.05,Chennai,South,Supermarket,"26, Setty Marg, Chennai, India",Autumn,Thursday
TXN3950839,2024-03-03,11:02:55,CUST14219,Sara Singhal,32,Female,High,Weekly,Budget Buyer,Yes,Tablet,Electronics,1,457.03,Credit Card,0.0,Jaipur,North,Supermarket,"61/63, Singhal Ganj, Jaipur, India",Spring,Sunday
TXN8136575,2025-01-08,11:02:55,CUST37269,Lakshay Sule,47,Male,Middle,Occasional,Budget Buyer,Yes,"Tea, Saree","Groceries, Clothing",2,2680.8599999999997,Credit Card,0.0,Hyderabad,South,Supermarket,"13/03, Sharma Street, Hyderabad, India",Winter,Wednesday
TXN1082401,2024-02-23,11:02:55,CUST11714,Hansh Doshi,34,Female,Middle,Weekly,Budget Buyer,Yes,"Noodles, Fruit Juice","Snacks, Beverages",2,5609.8099999999995,Net Banking,0.0,Mumbai,West,Supermarket,"98/640, Date, Mumbai, India",Winter,Friday
